μ0,λ,value
-10.0,0.1,8.588635688771305
-10.0,0.325,8.588635682602838
-10.0,0.55,8.588635518371
-10.0,0.775,8.588631145776072
-10.0,1.0,8.58851471606583
-7.777777777777778,0.1,8.588635646254684
-7.777777777777778,0.325,8.588634550619824
-7.777777777777778,0.55,8.588605379154243
-7.777777777777778,0.775,8.587828173892229
-7.777777777777778,1.0,8.566755143353006
-5.555555555555555,0.1,8.588628094336753
-5.555555555555555,0.325,8.588433447337966
-5.555555555555555,0.55,8.583227256535434
-5.555555555555555,0.775,8.42574381912778
-5.555555555555555,1.0,4.094874455807188
-3.3333333333333335,0.1,8.587284749341435
-3.3333333333333335,0.325,8.551571577734723
-3.3333333333333335,0.55,5.775467934311994
-3.3333333333333335,0.775,3.7842135401932984
-3.3333333333333335,1.0,3.511592234766303
-1.1111111111111112,0.1,8.284611861304128
-1.1111111111111112,0.325,2.9578192044023877
-1.1111111111111112,0.55,1.2175006248860873
-1.1111111111111112,0.775,0.5811246302081337
-1.1111111111111112,1.0,4.509256503827064e-5
1.1111111111111112,0.1,7.04202946008529e-7
1.1111111111111112,0.325,6.271649887182594e-7
1.1111111111111112,0.55,5.834377445415174e-7
1.1111111111111112,0.775,5.352691628126212e-7
1.1111111111111112,1.0,4.962499453484496e-7
3.3333333333333335,0.1,3.2796944207985147e-7
3.3333333333333335,0.325,3.201565202763616e-7
3.3333333333333335,0.55,3.132869506786353e-7
3.3333333333333335,0.775,3.072248994876277e-7
3.3333333333333335,1.0,3.0186002677783233e-7
5.555555555555555,0.1,2.7301379263629546e-7
5.555555555555555,0.325,2.7133195571259694e-7
5.555555555555555,0.55,2.7371900068095574e-7
5.555555555555555,0.775,2.723428886496493e-7
5.555555555555555,1.0,2.711041957893119e-7
7.777777777777778,0.1,2.640758673472354e-7
7.777777777777778,0.325,2.6364650771417836e-7
7.777777777777778,0.55,2.63258551938905e-7
7.777777777777778,0.775,2.629079499887231e-7
7.777777777777778,1.0,2.625910584367263e-7
10.0,0.1,2.6077161041020227e-7
10.0,0.325,2.606591614951114e-7
10.0,0.55,2.6055742745295334e-7
10.0,0.775,2.6046538328911133e-7
10.0,1.0,2.6038210278948967e-7
